attributes,energy,intensity,residual,fit,gaussian_1,gaussian_2,gaussian_3,gaussian_4,gaussian_5,gaussian_6,gaussian_7,gaussian_8
0,1.0,-0.0908949605894032,0.16864612033726012,-0.06227744268103502,-0.2880082293732944,0.22203330453664916,-0.09800444140229331,-0.12769844331427882,-0.3523063462609364,0.707896047257387,0.5508820930282559,0.5147179514297511
1,-0.0908949605894032,1.0,-0.11395879538953584,0.9852372891974976,0.9487873542458516,0.04453615703580317,-0.011482215746514125,-0.04348701889560113,-0.041183335054070715,-0.025640055360436648,-0.04528165540396876,0.02273137169303112
2,0.16864612033726012,-0.11395879538953584,1.0,0.05780258343796481,0.025808607721059553,0.019163739381236364,-0.026707676886326973,-0.025580673453438153,0.18082255519878498,0.05308812267031168,0.005126740266058132,0.03169428950203934
3,-0.06227744268103502,0.9852372891974976,0.05780258343796481,1.0,0.957859295682324,0.048055475252029224,-0.016140366355990685,-0.048106969149010706,-0.010225302392727688,-0.016617054899104425,-0.04461894848943618,0.028303631547832393
4,-0.2880082293732944,0.9487873542458516,0.025808607721059553,0.957859295682324,1.0,-0.13549342535757222,0.08002662625557216,0.07690626021211619,0.05098143465262184,-0.15995180004249712,-0.09944759692041757,-0.0954949076166389
5,0.22203330453664916,0.04453615703580317,0.019163739381236364,0.048055475252029224,-0.13549342535757222,1.0,-0.6744610372103619,-0.7961694423515658,0.2109123392066135,-0.2244774333046466,-0.17029740619997205,-0.166732763508154
6,-0.09800444140229331,-0.011482215746514125,-0.026707676886326973,-0.016140366355990685,0.08002662625557216,-0.6744610372103619,1.0,0.4492347710548549,-0.20192397053883623,0.1622729030402044,0.10216777644164629,0.09848185202633648
7,-0.12769844331427882,-0.04348701889560113,-0.025580673453438153,-0.048106969149010706,0.07690626021211619,-0.7961694423515658,0.4492347710548549,1.0,-0.12077628330508955,0.14805996140624256,0.09762895042476165,0.09464188723788733
8,-0.3523063462609364,-0.041183335054070715,0.18082255519878498,-0.010225302392727688,0.05098143465262184,0.2109123392066135,-0.20192397053883623,-0.12077628330508955,1.0,-0.6534378153451612,-0.5509594690926158,-0.5218616592356863
9,0.707896047257387,-0.025640055360436648,0.05308812267031168,-0.016617054899104425,-0.15995180004249712,-0.2244774333046466,0.1622729030402044,0.14805996140624256,-0.6534378153451612,1.0,0.34212996356226677,0.47510281840169444
10,0.5508820930282559,-0.04528165540396876,0.005126740266058132,-0.04461894848943618,-0.09944759692041757,-0.17029740619997205,0.10216777644164629,0.09762895042476165,-0.5509594690926158,0.34212996356226677,1.0,0.6588602219962252
11,0.5147179514297511,0.02273137169303112,0.03169428950203934,0.028303631547832393,-0.0954949076166389,-0.166732763508154,0.09848185202633648,0.09464188723788733,-0.5218616592356863,0.47510281840169444,0.6588602219962252,1.0
